name,color,line,x,y,w,h,amp_x,lx,x0,fwhm_x,off_x,amp_y,ly,y0,fwhm_y,off_y,smearing,fwhm_x_unsmear,lx_unsmear,x0_unsmear,amp_x_unsmear,l203,l214,l206,X_IMAGE,X_IMAGE_unsmear,Y_IMAGE,X_IMAGE_rot,Y_IMAGE_rot
25,red,214.0,1481.9534,870.04973,10.0,20.0,483.6728468787371,6.29999999999759,19.175313629892283,7.612776716831391,6970.234946808175,401.1176964931357,21.977049698041586,26.125087132986604,5.281053967213731,6971.982144134148,-1.25304844540911,7.401602307760601,6.299999999997742,18.48561186976382,491.19999999999976,False,True,False,1481.1287136298924,1480.4390118697638,871.1748171329865,1483.1015324443117,867.8120031475518
28,red,214.0,1542.4334,759.69973,10.0,20.0,536.7499999999999,6.299999999999999,21.157631089721495,7.339791875473521,6971.512030345369,386.59833717591283,22.56079384422215,24.80652494788679,4.440823881973859,6994.188691794352,-1.5815490077079655,7.845095411645397,6.299999999982872,20.498354980573353,536.7499999999999,False,True,False,1543.5910310897214,1542.9317549805733,759.5062549478869,1545.3103214119785,756.0020060179739
30,red,214.0,1655.9734,707.94976,10.0,20.0,449.7263543690128,6.299999999999994,19.42025647013695,6.103412589542106,7013.610869620247,360.0873545001042,22.90891122334911,24.75976291813359,4.536829305843857,6996.6738146285925,-0.9641912691057739,5.917157320330895,6.29999999999918,18.933474832377325,456.5499999998432,False,True,False,1655.393656470137,1654.9068748323773,707.7095229181335,1656.9951360544328,703.9517354212105
31,red,214.0,1340.9734,635.71975,10.0,20.0,387.6518182586025,6.299999999999999,17.582278316749232,7.481131019877203,6964.758547421127,361.23658651221217,22.485943339327505,30.313331221978604,4.467475042788268,6964.965125701133,-0.4029022568956663,7.609420271341127,6.260807943563181,17.500013051577074,361.3132828236847,False,True,False,1338.5556783167492,1338.4734130515772,641.0330812219786,1340.0066895295574,637.9943473033222
32,red,214.0,1614.7134,616.86975,10.0,20.0,418.52583743568977,6.299999999962626,16.61540828030784,6.742015585976227,6986.304600082044,299.798860750975,22.55712414164437,27.42223504326375,4.906260869812205,6974.35598291739,-0.015378542240858217,6.756535235081799,6.299999984778337,16.617985324275875,417.8075155093761,False,True,False,1611.3288082803078,1611.331385324276,619.2919850432637,1612.729788430544,615.6344050178121
34,red,214.0,1651.4134,562.62975,10.0,20.0,390.1117336542832,6.299999999999999,18.121384114902725,5.652144079245046,7011.439775933241,327.58623888515666,21.64614201219593,24.24295481832639,6.479041409594632,6971.015352194333,0.1,0.1,0.1,0.1,0.1,False,True,False,1649.5347841149025,1631.5133999999998,561.8727048183264,1650.8053858198969,558.1285860560112
36,red,214.0,1514.9834,459.32975,10.0,20.0,360.2499999919306,6.299999999999999,18.346153421746877,6.332299565061547,6964.477285856946,329.76641245245185,22.475886056427417,30.263025004036045,4.204171998850862,6968.010160760347,-0.4003731233871947,6.304179135073192,6.299999999999999,18.26790449195945,360.24999999935187,False,True,False,1513.329553421747,1513.2513044919594,464.592775004036,1514.379784751299,461.1579462420921
37,red,214.0,1472.0434,423.46975,10.0,20.0,407.09999999968136,6.299999999988679,16.832221223545503,6.511649599476772,6965.289107918279,278.19808984820463,22.83979190841462,26.562216557072468,4.2900467469166825,6962.216270252375,-0.02963922027631452,6.509046169185084,6.299986015390229,16.834668368245435,407.09960946139165,False,True,False,1468.8756212235455,1468.8780683682455,425.03196655707245,1469.8362064281698,421.6981023114465
38,red,214.0,1586.9334,373.10975,10.0,20.0,340.42947813821445,6.299999999999999,18.536243014770676,4.832369870243236,7012.927547924468,292.909182141245,22.48975093732556,26.335392835738652,4.983714669734622,6970.174888117828,-0.008296452758424486,4.933722019088095,6.299999999998675,18.546887377920015,339.7227518642051,False,True,False,1585.4696430147706,1585.48028737792,374.4451428357387,1586.3151503408183,370.846865584499
39,red,214.0,1638.8808,354.90408,18.785134,28.788646,311.25719705293164,6.299999999999993,18.37681756666097,7.0540198797970195,6981.541021187271,141.91284500559937,22.877315835927433,26.515195817155234,3.8114550576139683,6998.837464109733,-0.7152880832938266,6.969871016985233,6.299999999999999,18.069386603829408,312.96428571428527,False,True,False,1632.8650505666608,1632.5576196038292,352.0249528171553,1633.6595661422964,348.319196599539
40,red,214.0,1394.8499,333.08577,14.901245,29.898359,339.066666355161,6.299999999999405,23.281484240713986,6.445692920338333,6957.979335643509,243.99196326980461,22.46077016340203,29.273929946924117,4.886310734961647,6961.5525354965375,-0.31386507505339273,6.426869923835551,6.299999999999999,23.247040484151192,339.06666666666655,False,True,False,1395.680761740714,1395.6463179841512,332.4105204469241,1396.43138413536,329.24296833605507
LyC 2,red,214.0,1560.0924,1889.9465,10.0,20.0,563.1565407578844,6.299999999997782,22.3260975236202,7.614615211822072,7063.372588345325,424.89528918982137,23.016844873823885,24.670218675064184,4.400504989086994,7019.063020564105,-2.712155409667048,7.814849051199144,6.299999999999961,20.984514860143236,615.7000000000006,False,True,False,1562.41849752362,1561.0769148601432,1889.6167186750642,1566.7018764890565,1886.0668426930029
