MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,OTYPE,Z_VALUE,FLUX_V,FLUX_g,FLUX_r,BIBLIO,OTYPE_2,RA_2_A_ICRS_J2000_2000_d,DEC_2_D_ICRS_J2000_2000_d,SCRIPT_NUMBER_ID,Z,url,symbol,coord_x,coord_y,x_mm,y_mm,nuv_mag,slit_width,slit_length,yline_mm,NUV_ned,FUV_ned,spectra
SDSS J004714.95+030955.9,11.812321,3.165533,7,7,,,0,C,O,2020ApJS..250....8L,QSO,1.217636,,22.31760025024414,22.005599975585938,2020ApJS..250....8L,QSO,11.812321,3.165533,1,1.217636,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11.8123210d3.1655330d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.22</a>,circle,-0.282584584097302,-4.038358890100034,-0.28057738866229315,-4.009674467858709,0,0.075,0.24,-6.3083405489110875,22.1252,99.9,None
WiggleZ R01J004636502+03284151,11.65213,3.478169,8,8,,,0,C,O,2018MNRAS.474.4151D,Galaxy,0.66943,,21.93000030517578,21.299999237060547,2018MNRAS.474.4151D,Galaxy,11.65213,3.478169,1,0.66943,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11.6521300d3.4781690d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.67</a>,circle,-12.826912438620578,4.082095320679125,-12.704292288004737,4.043072122739237,0,0.075,0.24,2.1946661727704955,23.6153,99.9,None
WiggleZ R01J004728177+03300982,11.8674415,3.5027,8,8,,,0,C,O,2018MNRAS.474.4151D,Galaxy,0.35012,,20.809999465942383,20.010000228881836,2018MNRAS.474.4151D,Galaxy,11.8674415,3.5027,1,0.35012,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11.8674415d3.5027000d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.35</a>,circle,-5.428170669236806,9.55795982038414,-5.381161809227874,9.475186300068387,0,0.075,0.24,11.413633100082794,99.9,99.9,None
WiggleZ R01J004736636+03301287,11.9026885,3.503546,8,8,,,0,C,O,2018MNRAS.474.4151D,Galaxy,0.65149,,21.34000015258789,20.709999084472656,2018MNRAS.474.4151D,Galaxy,11.9026885,3.503546,1,0.65149,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11.9026885d3.5035460d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.65</a>,circle,-4.149673302090867,10.337706568530775,-4.113534360017961,10.24767688386654,0,0.075,0.24,7.078603109477752,99.9,99.9,None
UCAC4 466-001042,11.87463980805,3.13866938218,14,14,0.01489999983459711,0.00839999970048666,90,A,O,2020yCat.1350....0G,Star,,13.583999633789062,14.02400016784668,13.319000244140625,2019AJ....158..227G,Star,11.87463980805,3.13866938218,1,,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11.8746398d3.1386694d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             nan</a>,circle,2.5821005887084936,-3.704476705670575,2.563605595569184,-3.6779423903322335,0,0.075,0.24,0.0,20.5041,99.9,None
SDSS J004800.93+032021.3,12.003879,3.33927,7,7,,,0,C,O,2020ApJS..250....8L,QSO,1.188693,,21.575300216674805,21.108400344848633,2020ApJS..250....8L,QSO,12.003879,3.33927,1,1.188693,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=12.0038790d3.3392700d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.19</a>,circle,3.0683975906078675,6.43352268230216,3.045026863641574,6.384521176597759,0,0.075,0.24,2.4877748187655584,22.622,99.9,None
SDSS J004745.50+030943.7,11.939587,3.162151,7,7,,,0,C,O,2014A&A...563A..54P,QSO,0.95258,,21.66119956970215,21.456899642944336,2020ApJS..249...17R|2020ApJS..250....8L|2018A&A...613A..51P|2018MNRAS.474.4151D|2017A&A...597A..79P|2014A&A...563A..54P,QSO,11.939587,3.162151,1,0.95258,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11.9395870d3.1621510d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             0.95</a>,circle,4.472230562782771,-1.4592818729848618,4.440080804949473,-1.448791457035065,0,0.075,0.24,-3.957180350140029,22.734,99.9,None
SDSS J004750.51+032923.6,11.960458,3.489887,8,8,,,0,C,O,2018MNRAS.474.4151D,QSO,1.22185,,20.971200942993164,20.94729995727539,2021ApJ...912...91T|2020ApJS..250....8L|2018MNRAS.474.4151D,QSO,11.960458,3.489887,1,1.22185,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11.9604580d3.4898870d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.22</a>,circle,-1.7341136417637153,11.061364751068254,-1.718978590146907,10.9648230236821,0,0.075,0.24,8.898831865282887,21.327,99.9,None
SDSS J004751.13+031029.7,11.963053,3.17493,7,7,,,0,C,O,2020ApJS..250....8L,QSO,1.223756,,21.65130043029785,21.321199417114258,2020ApJS..250....8L,QSO,11.963053,3.17493,1,1.223756,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11.9630530d3.1749300d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.22</a>,circle,5.063708178591,-0.4897836867047567,5.027022891382764,-0.48623532756102883,0,0.075,0.24,-2.4469871877692304,22.4424,99.9,None
SDSS J004659.22+033525.2,11.746765,3.590353,7,7,,,0,C,O,2020ApJS..250....8L,QSO,1.030062,,21.84429931640625,21.695199966430664,2020ApJS..250....8L,QSO,11.746765,3.590353,1,1.030062,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=11.7467650d3.5903530d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=3&Radius.unit=arcsec'>             1.03</a>,circle,-11.731896499342716,10.225935756696153,-11.609082642029493,10.118886856717586,0,0.075,0.24,12.461068331128228,23.6429,99.9,None
